bet_id,accept_time,result,player_id,player_segment_id,player_profit_status,price_change_policy,amount,payout,profit,settlement_exchange_rate,currency
46,1/3/2021 1:06,Lose,7,0,2,Any,1,0,1,0.88,EUR
47,1/3/2021 2:06,Lose,2,0,2,Any,1,0,1,0.88,EUR
48,1/3/2021 3:06,Win,9,0,2,Any,1,2.03,-1.03,0.88,EUR
49,1/3/2021 4:06,Win,0,0,2,Any,1,2.03,-1.03,0.88,EUR
50,1/3/2021 5:06,Win,7,0,2,Any,1,1.85,-0.85,0.88,EUR
51,1/3/2021 6:06,Win,10,0,2,Rise,1,1.9,-0.9,0.88,EUR
52,1/3/2021 7:06,Lose,0,0,2,Rise,1,0,1,0.88,EUR
53,,,1,0,2,Any,1,1.35,-0.35,0.88,EUR
54,,,5,0,2,Any,1,0,1,0.88,EUR
55,,,10,0,2,Rise,20,48,-28,1,USD
56,,,10,0,2,Rise,10,0,10,1,USD
57,,,0,0,2,Rise,10,0,10,1,USD
58,,,1,0,2,Rise,10,0,10,1,USD
59,1/3/2021 14:06,Lose,8,0,1,Rise,1.33,0,1.33,1,USD
60,1/3/2021 15:06,Lose,4,0,1,Rise,1.33,0,1.33,1,USD
61,1/3/2021 16:06,Lose,1,0,1,Rise,1.33,0,1.33,1,USD
62,1/3/2021 17:06,Lose,1,0,1,Rise,1.33,0,1.33,1,USD
63,1/3/2021 18:06,Win,4,0,0,Rise,2,5,-3,1,USD
64,1/3/2021 19:06,Win,2,0,0,Rise,3,7.89,-4.89,0.88,EUR
65,1/3/2021 20:06,Win,6,0,0,Rise,3,7.89,-4.89,0.88,EUR
66,1/3/2021 21:06,Win,8,0,0,Rise,3,7.89,-4.89,0.88,EUR
67,1/3/2021 22:06,Win,5,0,0,Rise,3,7.89,-4.89,0.88,EUR
68,1/3/2021 23:06,Lose,2,0,0,Rise,3,0,3,1,USD
69,1/4/2021 0:06,Win,6,0,2,Rise,1,1.15,-0.15,1,USD
70,1/4/2021 1:06,Win,1,0,2,Rise,1,1.38,-0.38,1,USD
71,1/4/2021 2:06,Win,8,0,2,Rise,1,1.23,-0.23,1,USD
72,1/4/2021 3:06,Win,4,0,2,Rise,20,34.4,-14.4,1,USD
73,1/4/2021 4:06,Lose,10,0,2,Rise,14.4,0,14.4,1,USD
74,1/4/2021 5:06,Win,1,0,2,Any,1,1.87,-0.87,0.88,EUR
75,1/4/2021 6:06,Lose,1,0,2,Any,1,0,1,0.88,EUR
76,1/4/2021 7:06,Lose,5,0,2,Any,1,0,1,0.88,EUR
77,1/4/2021 8:06,Win,8,0,2,Any,1,1.72,-0.72,0.88,EUR
78,1/4/2021 9:06,Lose,6,0,2,Rise,5,0,5,1,USD
79,1/4/2021 10:06,Win,10,0,2,Rise,1,1.28,-0.28,1,USD
80,1/4/2021 11:06,Return,6,0,2,Rise,1,1,0,1,USD
81,1/4/2021 12:06,Win,1,0,2,Rise,1,1.38,-0.38,1,USD
82,1/4/2021 13:06,Lose,10,0,0,Rise,7,0,7,1,USD
83,1/4/2021 14:06,Lose,9,0,0,Rise,7,0,7,1,USD
84,1/4/2021 15:06,Lose,2,0,0,Rise,7,0,7,1,USD
85,1/4/2021 16:06,Win,2,0,1,Rise,3,5.7,-2.7,1,USD
86,1/4/2021 17:06,Lose,9,0,1,Rise,2.7,0,2.7,1,USD
87,1/4/2021 18:06,Lose,6,0,2,Rise,1,0,1,1,USD
88,1/4/2021 19:06,Win,4,0,2,Any,1,1.75,-0.75,0.88,EUR
89,1/4/2021 20:06,Lose,8,0,2,Any,1,0,1,0.88,EUR
90,1/4/2021 21:06,Win,4,0,2,Any,1,2.3,-1.3,0.88,EUR
91,1/4/2021 22:06,Lose,10,0,2,Any,1,0,1,0.88,EUR
92,1/4/2021 23:06,Lose,1,0,2,Any,1,0,1,0.88,EUR
93,1/5/2021 0:06,Lose,4,0,2,Any,1,0,1,0.88,EUR
94,1/5/2021 1:06,Win,7,0,2,Any,1,1.28,-0.28,0.88,EUR
95,1/5/2021 2:06,Win,1,0,2,Any,1,1.85,-0.85,0.88,EUR
96,1/5/2021 3:06,Win,3,0,2,Any,1,1.78,-0.78,0.88,EUR
97,1/5/2021 4:06,Lose,0,0,2,Any,1,0,1,0.88,EUR
98,1/5/2021 5:06,Lose,3,0,2,Any,1,0,1,0.88,EUR
99,1/5/2021 6:06,Win,0,0,2,Any,1,1.94,-0.94,0.88,EUR
100,1/5/2021 7:06,Lose,2,0,2,Any,1,0,1,0.88,EUR
101,1/5/2021 7:06,Win,0,0,2,Any,1,1.94,-0.94,0.88,EUR
102,1/5/2021 7:06,Win,0,0,2,Any,1,1.94,-0.94,0.88,EUR
103,1/5/2021 7:06,Win,0,0,2,Any,1,1.94,-0.94,0.88,EUR
104,1/5/2021 7:06,Win,0,0,2,Any,1,1.94,-0.94,0.88,EUR
105,1/5/2021 7:06,Win,0,0,2,Any,1,1.94,-0.94,0.88,EUR
106,1/5/2021 7:06,Win,0,0,2,Any,1,1.94,-0.94,0.88,EUR
107,1/5/2021 7:06,Win,0,0,2,Any,1,1.94,-0.94,0.88,EUR
108,1/5/2021 7:06,Win,0,0,2,Any,1,1.94,-0.94,0.88,EUR
109,1/5/2021 7:06,Win,0,0,2,Any,1,1.94,-0.94,0.88,EUR
110,1/5/2021 7:06,Win,0,0,2,Any,1,1.94,-0.94,0.88,EUR
