bet_id,accept_time,result,player_id,player_segment_id,player_profit_status,price_change_policy,amount,payout,profit,settlement_exchange_rate,settlement_status,is_manual,currency
1,01012021 6:06 AM,Win,4,0,0,Rise,1,1.1,-0.1,1,Settled,FALSE,USD
2,01012021 7:06 AM,Lose,6,0,0,Rise,1,0,1,1,Settled,FALSE,USD
3,01012021 8:06 AM,Win,5,0,1,Rise,25,62,-37,1,Settled,FALSE,USD
4,01012021 9:06 AM,Lose,6,0,1,Rise,1,0,1,1,Settled,FALSE,USD
5,01012021 10:06 AM,Lose,6,0,2,Any,1,0,1,0.88,Settled,FALSE,EUR
6,01012021 11:06 AM,Win,4,0,2,Rise,10,21.3,-11.3,1,Settled,FALSE,USD
7,01012021 12:06 PM,Lose,3,0,2,Rise,10,0,10,1,Settled,FALSE,USD
8,01012021 1:06 PM,Lose,3,0,2,Rise,10,0,10,1,Settled,FALSE,USD
9,01012021 2:06 PM,Lose,6,0,2,Rise,10,0,10,1,Settled,FALSE,USD
10,01012021 3:06 PM,Lose,10,0,2,Rise,10,0,10,1,Settled,FALSE,USD
11,01012021 4:06 PM,Lose,9,0,2,Rise,5,0,5,1,Settled,FALSE,USD
12,01012021 5:06 PM,Lose,9,0,2,Rise,15,0,15,1,Settled,FALSE,USD
13,01012021 6:06 PM,Lose,6,0,1,Rise,25,0,25,1,Settled,FALSE,USD
14,01012021 7:06 PM,Lose,1,0,0,Any,1,0,1,1,Settled,FALSE,USD
15,01012021 8:06 PM,Win,5,0,2,Rise,1,1.28,-0.28,1,Settled,FALSE,USD
16,01012021 9:06 PM,Win,8,0,2,Rise,1,1.53,-0.53,1,Settled,FALSE,USD
17,01012021 10:06 PM,Lose,7,0,2,Rise,11.3,0,11.3,1,Settled,FALSE,USD
18,01012021 11:06 PM,Win,4,0,2,Rise,10,28,-18,1,Settled,FALSE,USD
19,02012021 12:06 AM,Lose,2,0,2,Rise,10,0,10,1,Settled,FALSE,USD
20,02012021 1:06 AM,Lose,6,0,2,Rise,10,0,10,1,Settled,FALSE,USD
21,02012021 2:06 AM,Lose,2,0,1,Rise,12,0,12,1,Settled,FALSE,USD
22,02012021 3:06 AM,Lose,6,0,1,Rise,10,0,10,1,Settled,FALSE,USD
23,02012021 4:06 AM,Win,9,0,1,Rise,20,40,-20,1,Settled,FALSE,USD
24,02012021 5:06 AM,Win,6,0,0,Rise,1,1.2,-0.2,1,Settled,FALSE,USD
25,02012021 6:06 AM,Win,7,0,0,Rise,2,4,-2,0.88,Settled,FALSE,EUR
26,02012021 7:06 AM,Lose,1,0,2,Rise,1,0,1,1,Settled,FALSE,USD
27,02012021 8:06 AM,Win,6,0,1,Rise,1,1.5,-0.5,1,Settled,FALSE,USD
28,02012021 9:06 AM,Lose,4,0,0,Any,1,0,1,1,Settled,FALSE,USD
29,02012021 10:06 AM,Lose,5,0,2,Rise,1,0,1,0.88,Settled,FALSE,EUR
30,02012021 11:06 AM,Lose,5,0,2,Rise,1,0,1,0.88,Settled,FALSE,EUR
31,02012021 12:06 PM,Lose,7,0,2,Rise,1,0,1,0.88,Settled,FALSE,EUR
32,02012021 1:06 PM,Lose,0,0,0,Rise,25,0,25,1,Settled,FALSE,USD
33,02012021 2:06 PM,Win,3,0,2,Rise,1,1.92,-0.92,0.88,Settled,FALSE,EUR
34,02012021 3:06 PM,Return,4,0,2,Rise,1,1,0,0.88,Settled,FALSE,EUR
35,02012021 4:06 PM,Return,10,0,2,Rise,1,1,0,0.88,Settled,FALSE,EUR
36,02012021 5:06 PM,Lose,9,0,2,Rise,1,0,1,0.88,Settled,FALSE,EUR
37,01012021 5:16 PM,Win,1,0,2,Rise,20,20,0,0.88,Settled,FALSE,EUR
38,02012021 6:06 PM,Win,3,0,2,Rise,1,2.25,-1.25,0.88,Settled,FALSE,EUR
39,02012021 7:06 PM,Lose,9,0,2,Rise,1,0,1,0.88,Settled,FALSE,EUR
40,02012021 8:06 PM,Lose,1,0,2,Any,1,0,1,0.88,Settled,FALSE,EUR
41,02012021 9:06 PM,Lose,5,0,2,Any,1,0,1,0.88,Settled,FALSE,EUR
42,02012021 10:06 PM,Lose,10,0,2,Any,1,0,1,0.88,Settled,FALSE,EUR
43,02012021 11:06 PM,Lose,3,0,2,Any,1,0,1,0.88,Settled,FALSE,EUR
44,03012021 12:06 AM,Win,3,0,2,Any,1,1.23,-0.23,0.88,Settled,FALSE,EUR
45,03012021 1:06 AM,Lose,7,0,2,Any,1,0,1,0.88,Settled,FALSE,EUR
