Date,id,transaction_kind,event_user,transaction_type,message,decline_reason_id,comment,player_id,brand_id,provider_transaction_id,channel,nominal_amount,nominal_currency,paid_amount,paid_currency,provider_id,payment_method_name,status
1/1/2021 1:01,1,Player,System,deposit,,,,na,RR,297,DESKTOP_AIR_PM,1,EUR,1,EUR,2,Visa/MC(main23),Approved
1/1/2021 2:06,2,Player,System,deposit,,,,5,RR,532,DESKTOP_AIR_PM,3.5,EUR,3.5,EUR,2,Visa/MC,Issued
1/1/2021 3:11,3,Player,System,deposit,,,,2,RR,688,DESKTOP_AIR_PM,1,EUR,1,EUR,2,Visa/MC,Issued
1/1/2021 4:16,4,Player,System,deposit,,,error,8,RR,771,DESKTOP_AIR_PM,6,EUR,6,EUR,1,sad,Failed
1/1/2021 5:21,5,Player,System,deposit,,,,8,RR,512,DESKTOP_AIR_PM,na,EUR,1,EUR,1,Visa/MC(main23),Approved
1/1/2021 6:26,6,Player,System,deposit,,,,3,RR,646,DESKTOP_AIR_PM,1,EUR,1,EUR,4,Visa/MC,Issued
1/1/2021 7:31,7,Player,System,deposit,,,error,4,RR,209,DESKTOP_AIR_PM,1,EUR,1,EUR,1,Visa/MC(main23),Failed
1/1/2021 8:36,8,Player,System,deposit,,,,10,RR,967,DESKTOP_AIR_PM,error,EUR,error,EUR,1,Visa/MC(main23),Approved
1/1/2021 9:41,9,Player,System,deposit,,,error,4,RR,749,DESKTOP_AIR_PM,1,EUR,1,EUR,2,Visa/MC(main23),Failed
1/1/2021 10:46,10,Player,System,deposit,,,,4,RR,973,DESKTOP_AIR_PM,5,EUR,5,EUR,0,Visa/MC(main23),Approved
1/1/2021 11:51,11,Player,System,deposit,,,,1,RR,222,DESKTOP_AIR_PM,1,EUR,1,EUR,2,Visa/MC(main23),Approved
1/1/2021 12:56,12,Player,System,deposit,,,error,8,RR,320,DESKTOP_AIR_PM,15,EUR,15,EUR,1,sad,Failed
1/1/2021 14:01,13,Player,System,deposit,,,error,4,RR,922,DESKTOP_AIR_PM,15,EUR,15,EUR,3,sad,Failed
1/1/2021 15:06,14,Player,System,deposit,,,,4,RR,993,DESKTOP_AIR_PM,1,EUR,1,EUR,1,Visa/MC,Issued
